Name,overall,Action,Adventure,Sci-Fi,Drama,Comedy,Romance,Musical,War,Horror,History,Mystery,Thriller,Crime,Sport,Biography,Fantasy,Family,Documentary,Music,Animation,News,Western,average,Votes
Aakhri Adaalat,5.2,5.2,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,5.2,78
Aakhri Baazi,4.1,4.1,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,4.1,53
Aakhri Badla,5,5,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,21
Aakhri Ghulam,4.9,4.9,0,0,4.9,0,0,0,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,4.9,34
Aakhri Kasam,6.3,6.3,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,6.3,7
Aakhri Khat,6.9,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,122
Aakhri Sangam,7.3,7.3,0,0,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3,39
Aakhri Sanghursh,2.8,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,17
Aakraman,6.3,0,0,0,6.3,0,6.3,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,6.3,44
Aakrosh,7.9,0,0,0,7.9,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,7.9,0,0,0,7.9,887
Aakrosh,7,7,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,7,3464
Aalaap,5.4,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,26
Aalavandhan,7.2,7.2,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,7.2,2192
Aalwar,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,922
Aamaar Bhuvan,7.7,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,7.7,72
Aamdani Atthanni Kharcha Rupaiya,4.8,0,0,0,4.8,4.8,0,0,0,0,0,0,0,0,0,0,0,4.8,0,0,0,0,0,4.8,1238
Aamir,7.7,7.7,0,0,7.7,0,0,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,7.7,10862
Aamne - Saamne,6.5,0,0,0,0,0,6.5,0,0,0,0,6.5,0,6.5,0,0,0,0,0,0,0,0,0,6.5,81
Aamne Samne,6.4,6.4,0,0,6.4,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,6.4,53
Aan Aur Shaan,6.4,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,37
Aan Milo Sajna,6.4,0,0,0,6.4,0,6.4,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,211
Aan: Men at Work,5.7,5.7,0,0,5.7,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,5.7,2907
Aanch,5.6,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,102
Aanchal,6.4,6.4,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,6.4,58
Aandhi,8.1,0,0,0,8.1,0,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,1406
Aandhi-Toofan,6.1,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,49
Aandhiyan,7.4,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,30
Aandhiyan,4.8,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8,38
