Name,Year,Duration,Genre,Rating,Director,Actor1,Actor2,Actor3
Aakhri Sangam,1990,160,"Action, Romance",7.3,N.K. Vishwanathan,Nassar,Nirosha,Aurn Pandian
Aakhri Sanghursh,1997,138,Action,2.8,Narendra Bedi,Vijayendra Ghatge,Kaajal Kiran,Mukesh Khanna
Aakraman,1975,139,"Drama, History, Romance",6.3,J. Om Prakash,Ashok Kumar,Sanjeev Kumar,Rakesh Roshan
Aakrosh,1980,144,"Crime, Drama, Music",7.9,Govind Nihalani,Naseeruddin Shah,Smita Patil,Amrish Puri
Aakrosh,2010,115,"Action, Crime, Thriller",7,Priyadarshan,Ajay Devgn,Akshaye Khanna,Bipasha Basu
Aalaap,2012,116,Sci-Fi,5.4,Manish Manikpuri,Omkar Das Manikpuri,Pitobash,Amit Purohit
Aalavandhan,2001,177,"Action, Thriller",7.2,Suresh Krishna,Kamal Haasan,Raveena Tandon,Manisha Koirala
Aalwar,2007,152,Action,3,Chella,Ajith Kumar,Asin Thottumkal,Vivek
Aamaar Bhuvan,2018,107,"Drama, Family",7.7,Mrinal Sen,Saswata Chatterjee,Nandita Das,Koushik Sen
Aamdani Atthanni Kharcha Rupaiya,2001,150,"Comedy, Drama, Family",4.8,K. Raghavendra Rao,A.S. Ravindra Babu,Govinda,Juhi Chawla
Aamir,2008,99,"Action, Crime, Drama",7.7,Raj Kumar Gupta,Rajeev Khandelwal,Aishwarya,Vasan Bala
Aamne - Saamne,1967,163,"Crime, Mystery, Romance",6.5,Suraj Prakash,Shashi Kapoor,Sharmila Tagore,Prem Chopra
Aamne Samne,1982,143,"Action, Crime, Drama",6.4,Ashim S. Samanta,Mithun Chakraborty,Bindiya Goswami,Arti Gupta
Aan Aur Shaan,1984,130,Drama,6.4,Ravi Tandon,Rishi Kapoor,Moushumi Chatterjee,Shammi Kapoor
Aan Milo Sajna,1970,177,"Drama, Musical, Romance",6.4,Mukul Dutt,Rajesh Khanna,Asha Parekh,Vinod Khanna
Aan: Men at Work,2004,149,"Action, Crime, Drama",5.7,Madhur Bhandarkar,Akshay Kumar,Shatrughan Sinha,Sunil Shetty
Aanch,2003,160,Drama,5.6,Rajesh Ram Singh,Arun Bakshi,Suchindra Bali,Poonam Jhawer
Aanchal,1980,138,"Action, Drama, Family",6.4,Anil Ganguly,Rajesh Khanna,Rakhee Gulzar,Rekha
Aandhi,1975,133,"Drama, Romance",8.1,Gulzar,Suchitra Sen,Sanjeev Kumar,Om Shivpuri
Aandhi-Toofan,1985,144,Drama,6.1,Babbar Subhash,Shashi Kapoor,Hema Malini,Danny Denzongpa
Aandhiyan,1952,136,Drama,7.4,Chetan Anand,Dev Anand,Nimmi,Kalpana Kartik
Aandhiyan,1990,145,Drama,4.8,David Dhawan,Mumtaz,Prasenjit Chatterjee,Madhushree
Aani Maani,2019,94,Drama,6.6,Fahim Irshad,Farrukh Seyer,Priyanka Verma,Neha Singh
Aankhen,1993,170,"Action, Comedy, Crime",6.7,David Dhawan,Govinda,Chunky Panday,Raj Babbar
Aankhen,2002,165,"Crime, Drama, Thriller",7.4,Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Sushmita Sen
Aankhon Aankhon Mein,1972,154,"Drama, Romance",6.4,Raghunath Jhalani,Rakhee Gulzar,Rakesh Roshan,Achala Sachdev
Aansoo Aur Muskan,1970,150,"Comedy, Drama, Family",6.5,P. Madhavan,Hema Malini,Parikshit Sahni,Jagdeep
Aao Pyaar Karen,1994,141,Romance,4.2,Ravindra Peepat,Saif Ali Khan,Shilpa Shetty Kundra,Somy Ali
Aao Wish Karein,2009,140,"Comedy, Family, Fantasy",5.1,Glen Barreto,Aftab Shivdasani,Aamna Sharif,Rati Agnihotri
Aap Aye Bahaar Ayee,1971,119,"Comedy, Drama, Romance",6.6,Mohan Kumar,Rajendra Kumar,Sadhana,Prem Chopra
Aap Beati,1976,145,"Drama, Family",5.7,Mohan Kumar,Shashi Kapoor,Hema Malini,Ashok Kumar
